AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
0,23.19353867,12.17848449,323.8418547,5.17913819,-0.7459,59.60784531,81,175,2285,46.36999893,14,0.5625,17.75520325,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.7999878,15.98777962,28.07619208,155.1423891,0.9007206,-0.0742,50.98039246,58,99,1278,13.81000042,17,-0.0117,20.57248878,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.79998779,35.57844162,21.30578033,218.0412395,0.9007225,-0.406,10.1960783,81,126,1582,12.06999969,17,0.0156,14.51330566,SmoothCondition,LowCongestionCondition,AggressiveStyle
-3.39996338,29.49857903,60.94121205,147.0130529,-4.72878074,1.164,28.23529434,79,102,893,9.93999958,8,-0.168,14.12744236,SmoothCondition,LowCongestionCondition,AggressiveStyle
-2.2999878,40.75757599,35.33824662,295.2446453,1.35107803,0.8515,7.058823586,80,125,1753,22.88999939,11,-0.418,17.22114754,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1,14.41152,10.55718885,150.6469197,2.70216083,0.6055,52.54901886,80,118,1239,8.300000191,15,-0.2148,22.01366043,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2,16.66331863,57.28203748,152.3829383,-7.43094063,8.2671,21.96078491,80,102,885,7.800000191,13,16.3557,9.463356018,SmoothCondition,LowCongestionCondition,EvenPaceStyle
6.8999634,101.1058121,106.2174029,12.8935969,-0.4503631,0.0352,74.90196228,85,195,2035,37.02000046,20,0.242,10.46981812,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5,32.42591858,4.000697843,67.22135521,4.95395851,-1.0467,45.88235474,74,149,2184,40.61999893,15,0.6406,23.09111404,SmoothCondition,LowCongestionCondition,AggressiveStyle
1,24.99497986,11.78441964,26.92690754,2.25180054,6.7557,40.7843132,44,122,1760,22.26000023,23,17.1662,32.15929794,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.800003052,65.97773743,52.54575151,67.99047056,-0.22518158,-0.125,25.49019623,86,132,2142,18.79000092,20,-0.125,11.9195652,SmoothCondition,LowCongestionCondition,AggressiveStyle
-2.800003052,14.41152,8.031419864,90.6841542,4.05323982,-0.215,1.568627477,83,119,1363,13.06000042,28,0.18,17.9146843,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.2999878,49.53959656,33.46550004,121.1961597,0.67553711,-1.41,0,48,109,2070,17.40999985,19,0.285,17.78718376,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.10003662,0,35.83739595,345.3696394,0,1.41,26.27450943,80,101,795,5.550000191,14,-0.3672,9.809576988,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.20001221,16.88849831,10.8574286,32.52420874,-1.57626152,7.0599,25.09803963,67,104,932,4.949999809,19,17.2128,21.7022934,SmoothCondition,HighCongestionCondition,AggressiveStyle
-3,64.401474,43.97765257,328.4861958,0.6755333,-0.648,39.2156868,58,116,2044,20.12000084,18,0.305,14.85527802,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.800003052,53.81801987,82.73488178,339.6810294,0.45035935,0.488,15.68627453,83,115,2343,18.25,19,-0.41,8.958630562,SmoothCondition,LowCongestionCondition,AggressiveStyle
-5.90002441,90.97271729,73.32235883,40.07855353,1.35107422,-0.4453,46.27450943,81,147,2262,34.70999908,15,0.0899,17.00709152,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7000122,65.52737427,61.45537364,111.1188988,-1.35108185,7.4031,18.8235302,82,109,2083,14.59000015,15,17.3479,9.503411293,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.2999878,70.25614929,72.29403668,579.06875,3.37769317,0.0508,0,82,207,2259,35.16999817,21,0.34,9.910609245,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,3.903119876,47.36917127,0,0.625,25.88235283,80,101,805,6.78000021,12,-0.0937,20.71853638,SmoothCondition,HighCongestionCondition,EvenPaceStyle
0,7.205760002,20.67902964,22.84893994,-0.675539971,0.5507,41.5686264,70,108,1662,16.87999916,9,0.0977,16.74835968,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.3999634,55.61945724,25.39279741,529.943964,0.22518157,-0.605,21.56862831,82,113,1781,11.60999966,15,0.324,14.55524635,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.59997558,0,46.43962041,437.8755319,0,1.07,26.66666794,80,101,794,6.21999979,14,-0.297,11.16133308,SmoothCondition,LowCongestionCondition,AggressiveStyle
-6.3000488,117.7691345,72.1589297,939.5593978,0.2251739,0.137,47.84313965,82,153,2380,26.82999992,20,-0.484,14.24877548,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.800003052,40.30722046,62.78768768,162.7305239,-0.90071869,0.988,20.7843132,83,107,1699,11.35000038,17,-0.223,9.026399612,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.4000244,63.05039978,42.81046958,301.6460186,0,-0.605,23.92156982,58,104,1985,13.81000042,16,0.352,15.10241985,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2,4.953959465,58.64437585,218.5126708,-2.702159882,1.31,25.09803963,79,101,850,6.039999962,13,-0.457,9.68162632,SmoothCondition,LowCongestionCondition,AggressiveStyle
-7.70001221,97.50293732,110.7810509,34.3390928,0,1.22,34.11764908,80,127,1961,19.72999954,17,-0.4492,7.962655067,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.20001221,117.0935974,111.1113144,35.81283431,0,0.344,34.11764908,83,135,2316,28.39999962,16,-0.0898,8.615751266,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.40002442,8.556839943,12.71516346,150.7077114,8.556839943,-0.566,35.29411697,44,100,1436,14.68000031,22,0.273,26.10168076,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.0999756,76.78637695,80.78332323,576.807091,2.47697448,7.1418,1.176470637,82,123,2249,28.07999992,15,17.2901,9.474738121,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.79998779,98.85401917,79.81129507,174.1526359,1.35108185,6.6623,13.72549057,84,113,2326,17.20999908,15,17.4285,18.77540398,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.30004882,0,22.68688426,124.6364907,-2.476979733,1.0741,27.84313774,83,100,797,4.880000114,14,-0.4219,16.43746948,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.90002441,23.86907959,2.30058891,41.84208457,-1.57625771,-0.969,15.29411793,80,108,1673,11.88000011,23,0.5,19.11465454,SmoothCondition,LowCongestionCondition,AggressiveStyle
3.5999756,122.4979095,109.3398994,49.42610391,0.4503555,-0.2187,75.6862793,85,193,2465,48.11000061,13,0.586,10.68230915,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.4000244,23.41871834,23.88409117,12.51126925,0.90071869,-0.383,23.13725471,75,104,1696,10.75,15,0.0156,13.82960987,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.3000488,13.28561974,15.56744362,343.9251958,0.22517968,0.4961,8.627450943,78,105,1874,11.90999985,18,-0.1211,14.81773567,SmoothCondition,NormalCongestionCondition,AggressiveStyle
0,0,16.71586154,167.9819725,0,-0.1836,26.27450943,74,100,801,7.800000191,11,0.2461,22.07177925,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.6000366,23.86907959,21.15190751,26.26377659,0.45036125,-0.4882,22.35294151,70,114,1753,18.78000069,11,0.4023,17.45993042,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1,92.54897308,86.97577247,124.8049213,-0.90072632,0.0977,45.09804153,81,135,2215,19.38999939,14,-0.191,14.14715195,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2999878,33.55181885,14.97071663,75.94129059,1.80143738,0.2577,0,80,121,1491,22.71999931,19,-0.2539,16.69672012,SmoothCondition,LowCongestionCondition,AggressiveStyle
2.19995118,81.06479645,50.79685334,685.0183275,-0.67554474,6.6196,44.31372452,83,133,1977,25.06999969,17,17.6986,21.81285667,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.59997558,38.05541992,46.85620351,156.5807205,-4.95395661,1.42,22.35294151,80,106,1486,13.03999996,16,-0.4101,9.368800163,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.6000366,47.96333694,46.45087954,243.751771,0.90071868,-0.0195,60.7843132,63,132,1647,23.48999977,12,-0.1484,13.26433659,SmoothCondition,LowCongestionCondition,EvenPaceStyle
7.1000366,53.36766052,102.3893437,292.7324545,1.35108185,8.2325,43.13725662,83,143,2282,30.19000053,18,16.5247,9.266339302,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.39996338,0,13.43573967,101.1106896,0,0.0664,32.54901886,51,99,798,5.070000172,14,0.0625,24.69779587,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.70001221,9.682740211,18.37844052,428.5778331,9.682740211,-0.3789,22.35294151,79,119,1888,20.64999962,15,0.4141,17.38151741,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,8.290376761,106.7018,0,-0.582,32.94117737,80,99,791,4.650000095,18,0.422,10.50904751,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2000122,0,20.43883746,115.5949089,0,0.4375,25.88235283,75,101,802,7.989999771,10,0.0156,22.07177925,SmoothCondition,LowCongestionCondition,AggressiveStyle
0,0,4.083263914,126.4032015,0,0.2109,30.19607925,82,100,795,4.610000134,19,0.0859,16.43746948,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4,94.57559967,102.3067774,74.18149077,0.90072632,0.3554,38.4313736,82,127,1918,16.68000031,18,0.1055,7.402383327,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.29998779,38.50577927,20.89295034,439.3223511,-5.17914199,-0.6522,0,81,108,1464,18.35000038,12,0.6093,18.24864197,SmoothCondition,LowCongestionCondition,AggressiveStyle
1.60003662,110.7885513,99.33440132,33.63695711,-0.2251892,-0.488,72.94117737,83,175,2228,39.13000107,18,0.172,16.5647049,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1,4.728779793,20.45384936,359.891056,-5.404319767,0.906,49.80392075,57,99,954,10.23999977,16,-0.398,20.73202896,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.3000488,27.69713783,24.09425925,9.723525951,0.45035743,-0.566,16.47058868,75,108,1986,13.81000042,16,0.32,14.05957603,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,4.240889811,40.88997134,0,-0.207,31.76470566,81,100,809,5,18,0.0859,16.62765121,SmoothCondition,HighCongestionCondition,EvenPaceStyle
-0.39996338,31.3000164,27.32559192,188.1431268,0.90071678,0.2031,11.76470566,79,126,2250,22.92000008,11,-0.0898,14.46255016,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.20001221,54.04319763,16.92227649,395.5531348,3.15252304,-1.1679,0,81,116,2215,27.92000008,14,0.6914,17.30208588,SmoothCondition,LowCongestionCondition,AggressiveStyle
0,0,4.188347896,26.3210709,0,-0.266,19.2156868,80,102,948,9.050000191,20,0.121,16.53984451,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.20001221,0,18.91887257,382.2813409,0,0.9179,26.66666794,81,100,801,4.610000134,15,-0.293,13.6187191,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,18.27710949,488.9129864,0,0.769,44.31372452,82,100,760,6.639999866,17,-0.316,12.31937408,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.8000488,66.87845612,60.05175082,16.76820878,1.12590027,0.1406,32.54901886,82,128,2121,26.45000076,13,0.0625,15.70734119,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.7000122,2.476979733,0.664280979,3.660158885,-2.25180006,-0.1914,29.41176605,65,99,847,4.590000153,17,0.266,20.3691082,SmoothCondition,NormalCongestionCondition,EvenPaceStyle
-0.2999878,41.88347626,21.32829827,341.2603282,7.20575714,-0.598,60.39215851,81,173,2026,33.81000137,21,0.234,11.28997231,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.7999878,114.8417969,115.9564376,19.19683145,0,0.418,50.98039246,82,148,2291,28.04000092,17,-0.2851,9.876173019,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.800003052,37.60506058,30.84215304,161.6266939,3.15252304,-0.121,64.70588684,82,144,1737,25.79000092,25,-0.434,22.58460999,SmoothCondition,LowCongestionCondition,AggressiveStyle
-2.800003052,20.26619911,21.30202744,221.0476969,2.25179863,-0.758,49.01960754,82,134,1839,20.52000046,26,0.355,17.52073669,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.800003052,13.51079941,18.91136673,298.1935632,-5.85468101,0.512,22.35294151,82,100,872,4.849999905,19,-0.191,19.99426651,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.40002441,6.530220032,11.48042666,99.38294347,-5.404319758,6.9461,25.49019623,72,102,851,4.53000021,15,17.4786,23.37267494,UnevenCondition,NormalCongestionCondition,AggressiveStyle
0,0,2.176739931,33.66135615,0,-0.0352,29.41176605,63,100,828,4.829999924,18,0.172,19.97176933,SmoothCondition,NormalCongestionCondition,EvenPaceStyle
-2.800003052,0,0.994544999,18.76173302,0,-0.0547,30.58823586,79,100,805,4.75,25,-0.043,21.711483,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.09997558,19.81583786,14.3852486,56.02430438,0,-0.0938,0,44,100,1120,12.39000034,17,-0.367,26.93380165,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.2000122,45.9367218,14.46030878,245.0082667,2.70215988,-1.65,19.2156868,81,127,2009,22.54999924,18,0.785,13.07086182,SmoothCondition,LowCongestionCondition,AggressiveStyle
0,0,4.428539878,88.55278176,0,0.9296,25.49019623,80,101,798,6.510000229,12,-0.3906,13.91247559,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.3000488,45.0359993,21.66982136,488.3632947,1.80143738,-1.5,45.88235474,79,141,2011,21.59000015,18,0.895,15.31748486,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.29998779,12.38489914,5.040278795,33.58817468,3.602880479,6.9468,23.13725471,64,104,1807,13.44999981,21,17.2554,20.52485275,SmoothCondition,HighCongestionCondition,AggressiveStyle
0.39996338,18.6899395,10.97377169,90.76528263,0,-0.582,42.35294342,75,101,1385,10.47999954,19,0.477,22.67180634,SmoothCondition,NormalCongestionCondition,EvenPaceStyle
-1.20001221,31.75038147,5.719571853,99.62136408,5.40432167,-0.8593,35.29411697,80,138,2367,24.03000069,19,0.5195,23.08166885,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7000122,48.86405945,42.64158478,49.07822644,0,-0.324,17.64705849,51,106,2050,16.62000084,18,0.141,16.44379234,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.29998781,58.77198029,66.12410469,53.96123338,0.67554474,0.957,48.23529434,79,141,1882,28.04000092,11,-0.0078,14.46751118,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.5,10.5834589,22.94208864,188.389392,-7.43094158,1.3552,22.74509811,80,104,873,8.619999886,9,-0.4062,21.94882202,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.20001221,41.65829849,17.60907535,182.3901002,4.27841949,0.133,3.529411793,82,121,1878,23.39999962,21,0.0625,15.18405056,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.70001221,15.98777962,4.69875586,31.66027165,0.4503603,-0.664,33.33333206,80,103,1401,10,18,0.414,16.52055931,SmoothCondition,LowCongestionCondition,AggressiveStyle
-2.0999756,7.205760002,37.14719319,315.9432015,-7.430939678,0.1757,23.92156982,79,103,857,8.600000381,9,0.0898,16.18187332,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.7000122,18.01440048,39.83434078,175.0401387,-6.07985878,1.89,21.96078491,80,110,898,5.980000019,14,-0.7187,9.776209831,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.59997558,0,21.17817823,273.512485,0,0.394,31.37254906,52,99,805,5.090000153,17,-0.121,21.76053047,SmoothCondition,LowCongestionCondition,AggressiveStyle
-5.09997559,109.6626511,106.1048144,12.82226832,2.0266114,0.2773,74.50980377,81,185,2214,42,22,0.6445,8.131033897,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.7000122,7.656119347,11.72061861,118.8969157,-1.801440239,0.9726,40.39215851,81,104,1037,7.75,13,-0.4375,21.75933075,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.2999878,51.79140091,45.29495586,75.53793484,0.67554092,-0.668,41.5686264,52,115,1651,14.46000004,15,0.4453,17.03013229,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.9000244,48.86405945,22.06375709,236.0667978,2.47698212,-0.8164,40.39215851,82,143,2119,22.98999977,33,0.5195,18.70751762,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2000122,27.2467804,28.128734,38.12628178,-0.22517967,-0.801,20.3921566,73,108,1933,12.93999958,16,0.422,13.43926144,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.70001221,19.36548042,11.38284864,21.78025958,3.8280611,7.0441,58.4313736,43,111,1350,15.43000031,21,17.1818,32.25397491,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.5,112.3648148,107.7411219,11.63912255,0,6.6585,69.01960754,84,178,2270,40.34999847,16,17.9255,12.45146751,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7999878,6.980579853,30.97726118,733.7100031,-2.25180006,0.4101,27.05882454,78,100,873,5.050000191,16,-0.1367,13.68176365,SmoothCondition,NormalCongestionCondition,EvenPaceStyle
-2.800003052,116.8684235,109.6138678,151.516653,0.9007264,0.512,52.94117737,87,149,2305,19.06999969,19,0.312,11.95797062,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.79998779,89.84681702,90.40601463,74.99246997,1.35107422,0.2734,32.54901886,81,128,2102,21.65999985,15,-0.328,13.34056759,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5,119.120224,111.3552595,93.51650838,-0.6755295,0.859,5.490196228,84,116,2379,19.06999969,18,0.602,10.59135914,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.6999512,29.04821777,51.17215366,169.5431424,3.37769889,0.6054,30.58823586,66,138,2189,28.87999916,13,0.0937,12.79054165,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,11.07134947,270.7704735,0,0.1914,29.41176605,83,100,805,4.800000191,19,0.0898,16.43746948,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,0.048788997,0.142821971,0,0.6055,37.25490189,79,102,852,7.21999979,13,-0.1445,21.9600544,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.5,112.8151779,114.650393,4.430892644,0,7.2782,63.92156982,84,165,2269,36.97000122,16,17.2045,10.05207539,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.59997559,113.9410706,110.8148276,32.83875501,-0.2251815,0.152,46.27450943,83,148,2287,29.31999969,17,0.0117,8.707764626,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.79998779,91.8734436,107.4146104,66.19026428,-1.35107422,1.2,0,79,112,1811,19.40999985,17,-0.2461,7.794837952,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.59997559,45.48635864,21.25323835,128.4565794,1.80143738,-0.7421,34.90196228,82,139,1946,17.87000084,19,0.7343,9.534716606,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.40002442,0,32.28705772,215.1054417,0,1.1796,42.74509811,79,102,958,10.05000019,10,-0.6875,14.57788754,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.7000122,23.64389992,42.64533795,204.2749884,1.12590027,0.527,18.4313736,79,109,1857,12.14999962,16,-0.176,13.80715847,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.2999878,49.53959656,15.47737142,202.5935599,1.35107804,0.34,9.019607544,81,134,2134,19.21999931,18,0.043,10.63379955,SmoothCondition,LowCongestionCondition,AggressiveStyle
5.40002441,95.70149994,80.77581679,481.2227243,0.90072632,-0.609,72.54901886,86,212,2357,47.79000092,20,0.113,18.62342262,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,0,0,0,-0.1563,34.11764908,64,99,809,4.880000114,17,0.223,20.05983925,SmoothCondition,NormalCongestionCondition,EvenPaceStyle
4.89996338,14.41152,11.86323265,101.4077483,-2.47697831,6.7401,0,53,102,1015,6.079999924,19,17.2824,23.80744171,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.2000122,17.33885956,24.5859023,287.3115218,-4.50360107,0.0547,25.09803963,81,101,884,8.020000458,14,-0.0977,13.68567276,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5,95.25113678,48.70643317,286.4517784,2.25179291,-0.594,91.76470947,85,199,2425,49.20000076,21,0.269,15.37265491,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.20001221,43.00937653,40.41230284,235.4400674,-0.22518539,0.0586,21.96078491,81,119,1847,23.42000008,10,-0.125,17.89270592,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.5,122.047554,120.6664519,4.884046135,0.6755371,0.91,32.94117737,82,131,2416,20.39999962,17,0.199,8.697013855,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5,0,18.37844049,485.5215694,0,2.12,25.49019623,82,100,805,4.78000021,16,-0.82,12.31937408,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.5999756,34.90289688,12.6963984,84.4781151,0.90071869,-1.1483,87.45098114,79,162,1861,26.04000092,13,0.8671,20.49012756,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.09997558,10.35828018,2.979881906,23.72245753,-1.80143929,-0.246,0,79,104,1104,6.329999924,20,0.27,17.68821716,SmoothCondition,HighCongestionCondition,AggressiveStyle
1.20001221,15.98777962,3.854330879,48.40464832,0,-0.3008,10.1960783,80,114,2370,18.95000076,17,0.3164,21.72380829,SmoothCondition,HighCongestionCondition,AggressiveStyle
-1.20001221,7.881299973,38.71219416,111.8322195,-2.026618957,0.9257,32.94117737,79,107,1437,17.30999947,11,-0.2227,18.49158669,SmoothCondition,LowCongestionCondition,AggressiveStyle
